glam,80,19:12:30.019185
abir,43,19:12:30.034188
bere,13,19:12:30.038184
ezba,40,19:12:30.050185
duro,20,19:12:30.056186
arui,5,19:12:30.058185
ruin,1,19:12:30.058185
guze,84,19:12:30.084186
rase,10,19:12:30.090191
tara,100,19:12:30.127189
tees,83,19:12:30.151187
ling,6,19:12:30.154187
cray,73,19:12:30.177184
rauk,258,19:12:30.247183
dint,26,19:12:30.254185
intl,1,19:12:30.254185
prey,58,19:12:30.271186
yark,8,19:12:30.274189
twixt,172,19:12:30.330186
guze,77,19:12:30.357183
rick,11,19:12:30.361185
tebu,97,19:12:30.390187
nags,5,19:12:30.393187
teng,79,19:12:30.417184
tran,81,19:12:30.439184
jako,69,19:12:30.457184
zizz,75,19:12:30.476183
zendo,3,19:12:30.477183
teasy,35,19:12:30.486185
easy,1,19:12:30.487185
dung,136,19:12:30.529191
pies,183,19:12:30.593185
zeta,20,19:12:30.598185
indn,269,19:12:30.676183
ordu,5,19:12:30.678183
tuan,124,19:12:30.710183
ande,2,19:12:30.711184
hova,126,19:12:30.758184
clow,290,19:12:30.835184
drat,57,19:12:30.855182
ladin,57,19:12:30.871188
adin,1,19:12:30.871188
dins,1,19:12:30.872186
huer,48,19:12:30.895181
soga,78,19:12:30.916187
arts,228,19:12:30.990186
cods,176,19:12:31.034184
tyro,162,19:12:31.082184
koso,64,19:12:31.100185
bret,27,19:12:31.108185
rets,1,19:12:31.109184
nape,7,19:12:31.111182
dams,74,19:12:31.131183
moor,53,19:12:31.145184
gour,36,19:12:31.154184
bauk,79,19:12:31.173186
goss,36,19:12:31.183183
lautu,53,19:12:31.196193
wary,19,19:12:31.202194
iran,112,19:12:31.248187
ouph,59,19:12:31.265184
phar,2,19:12:31.265184
harn,1,19:12:31.266182
guld,24,19:12:31.273186
voile,13,19:12:31.277186
leme,3,19:12:31.278184
fumy,21,19:12:31.283184
abit,96,19:12:31.311183
bitt,1,19:12:31.311183
duka,81,19:12:31.332184
abel,7,19:12:31.334184
bels,1,19:12:31.335183
whun,396,19:12:31.456185
rone,83,19:12:31.486186
sorn,48,19:12:31.501185
rais,23,19:12:31.508184
waky,125,19:12:31.540184
bubs,167,19:12:31.584182
obli,9,19:12:31.586184
idcue,68,19:12:31.603184
caff,27,19:12:31.611183
fuji,3,19:12:31.612183
gilt,29,19:12:31.620186
toph,3,19:12:31.622188
kelp,142,19:12:31.695191
zila,221,19:12:31.764184
dagon,52,19:12:31.781184
agon,1,19:12:31.782185
yeel,79,19:12:31.802186
cosy,9,19:12:31.805184
typw,47,19:12:31.817185
peri,122,19:12:31.848183
berg,99,19:12:31.874185
tutu,52,19:12:31.898186
hapi,130,19:12:31.938185
baht,59,19:12:31.954186
auto,69,19:12:31.977187
heft,45,19:12:31.991186
cric,193,19:12:32.043187
bini,19,19:12:32.048184
avid,50,19:12:32.061183
stoa,127,19:12:32.109184
nuba,121,19:12:32.144183
yins,163,19:12:32.191185
lose,48,19:12:32.205189
boro,43,19:12:32.218182
rotl,2,19:12:32.218182
aula,27,19:12:32.226184
werf,132,19:12:32.260182
lura,60,19:12:32.276184
coup,17,19:12:32.280184
worn,157,19:12:32.338185
iuds,78,19:12:32.359184
wiyat,72,19:12:32.381185
gaff,46,19:12:32.396182
ufos,72,19:12:32.416183
poky,36,19:12:32.426183
jger,230,19:12:32.484183
oboe,171,19:12:32.541186
jows,119,19:12:32.577187
mutt,32,19:12:32.588188
soot,27,19:12:32.597183
jail,66,19:12:32.618184
inbd,13,19:12:32.622184
quab,7,19:12:32.624185
arum,36,19:12:32.634184
rump,1,19:12:32.634184
imine,84,19:12:32.656186
mine,1,19:12:32.657188
piro,29,19:12:32.665185
gean,7,19:12:32.667184
prex,135,19:12:32.702186
warn,55,19:12:32.716183
gils,85,19:12:32.737183
mara,18,19:12:32.743187
robs,271,19:12:32.826184
tunk,114,19:12:32.854182
plus,105,19:12:32.881183
lust,1,19:12:32.881183
cronk,37,19:12:32.890187
turn,50,19:12:32.902186
urna,1,19:12:32.903183
tuque,102,19:12:32.933184
zeal,36,19:12:32.944184
feat,105,19:12:32.987186
eath,1,19:12:32.988183
grun,56,19:12:33.005185
